age,fare,body,pclass,survived,name,sex,sibsp,parch,ticket,cabin,embarked,boat,home.dest
21.0,9.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,7.0,152.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,9.0,147.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,1,"Andrews, Mr. Thomas Jr",female,1.0,2.0,113794,D37,C,10,"Glasgow / Bangor, ME"
22.0,12.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,7.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,0,"Birnbaum, Mr. Jakob",female,1.0,1.0,113510,A31,C,11,"Austria Niagara Falls, NY"
21.0,10.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Dennis, Mr. Samuel",female,1.0,1.0,13213,B22,C,11,"Bournemouth, England Newark, NJ"
42.0,85.0,185.0,2.0,1,"Duran y More, Miss. Florentina",female,1.0,2.0,347077,B22,Q,12,"Haverford, PA / Cooperstown, NY"
21.0,8.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
17.0,85.0,185.0,2.0,1,"Banfield, Mr. Frederick James",female,1.0,1.0,1601,F G63,C,4,"Denmark Hill, Surrey / Chicago"
34.0,63.0,179.0,3.0,0,"Rommetvedt, Mr. Knud Paust",male,0.0,0.0,2908,C23 C25 C27,S,13,"New York, NY"
20.0,7.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,14.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,7.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Karun, Mr. Franz",female,1.0,1.0,24065,E46,C,10,"Brennes, Norway New York"
22.0,10.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,1,"McMahon, Mr. Martin",female,1.0,2.0,A/4 45380,C128,C,5,"Sydney, Australia"
36.0,85.0,126.0,2.0,1,"Asplund, Master. Carl Edgar",female,1.0,2.0,111320,A24,Q,15,"Australia Fingal, ND"
23.0,14.0,145.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
24.0,40.0,179.0,2.0,1,"Olsson, Mr. Oscar Wilhelm",male,3.0,2.0,1222,C93,C,3,"Sydney, Australia"
21.0,8.0,147.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,6.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,8.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,8.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,11.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,8.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,14.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
27.0,76.0,172.0,2.0,0,"Mallet, Mr. Albert",male,0.0,0.0,349233,C23 C25 C27,S,13,"New York, NY"
22.0,11.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
38.0,58.0,185.0,2.0,1,"Sjostedt, Mr. Ernst Adolf",female,3.0,1.0,350034,C31,C,11,"Winnipeg, MN"
21.0,9.0,147.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,8.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,85.0,185.0,1.0,1,"Pinsky, Mrs. (Rosa)",female,1.0,1.0,28004,A21,C,4,"Montevideo, Uruguay"
23.0,19.0,143.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,349247,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,111320,A11,C,1,Argentina
42.0,85.0,185.0,1.0,1,"Abbott, Mr. Rossmore Edward",female,1.0,1.0,110465,A11,C,11,"?Havana, Cuba"
21.0,9.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Abbott, Mr. Rossmore Edward",female,1.0,1.0,111361,A14,C,1,"Albany, NY"
21.0,7.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
25.0,15.0,142.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,349247,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,9.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,8.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,14.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,14.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,16.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,14.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,10.0,147.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
24.0,11.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,9.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,15.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Abbott, Mr. Rossmore Edward",female,1.0,1.0,111361,A21,C,12,"Ascot, Berkshire / Rochester, NY"
21.0,9.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110489,A10,C,1,"Asarum, Sweden Brooklyn, NY"
22.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,12.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,13.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
25.0,13.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,10.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,8.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Abbott, Mr. Rossmore Edward",female,1.0,1.0,110489,A10,C,1,"Australia Fingal, ND"
42.0,85.0,163.0,2.0,1,"O'Connor, Mr. Maurice",female,1.0,4.0,230136,B39,C,5,"Basel, Switzerland"
21.0,8.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,152.0,3.0,0,"Karun, Miss. Manca",male,0.0,0.0,230080,C23 C25 C27,S,13,"New York, NY"
23.0,12.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,14.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
35.0,80.0,154.0,1.0,1,"Case, Mr. Howard Brown",male,0.0,0.0,STON/O2. 3101283,C23 C25 C27,C,13,"Green Bay, WI"
41.0,85.0,159.0,1.0,1,"Hyman, Mr. Abraham",female,1.0,1.0,PC 17604,A21,C,4,"Barre, Co Washington, VT"
21.0,6.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,9.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,10.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,10.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Dika, Mr. Mirko",female,1.0,5.0,240261,C148,C,4,"Goteborg, Sweden / Rockford, IL"
21.0,9.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
31.0,22.0,156.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,347080,C23 C25 C27,S,13,"New York, NY"
21.0,6.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,9.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,10.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,1.0,2.0,PC 17582,B71,Q,14,"New York, NY"
21.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,10.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
24.0,12.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,11.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110489,A14,C,1,"?Havana, Cuba"
23.0,12.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
25.0,15.0,154.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,12.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Reed, Mr. James George",female,1.0,1.0,347086,B52 B54 B56,C,5,"Brockton, MA"
20.0,6.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,9.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
26.0,85.0,185.0,1.0,1,"Greenfield, Mr. William Bertram",female,1.0,1.0,347088,B71,C,7,"Montevideo, Uruguay"
21.0,12.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
39.0,85.0,185.0,2.0,1,"Mallet, Mr. Albert",male,0.0,0.0,349233,B58 B60,C,7,Paris / Haiti
27.0,17.0,155.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,347080,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,1,"Rommetvedt, Mr. Knud Paust",female,1.0,1.0,S.O.C. 14879,D46,C,11,"San Francisco, CA"
25.0,12.0,153.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,6.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
17.0,59.0,126.0,2.0,1,"Hays, Mr. Charles Melville",female,1.0,9.0,SOTON/O2 3101284,A5,Q,C,"New York, NY"
23.0,12.0,153.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,12.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,12.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,152.0,2.0,1,"Mallet, Mr. Albert",female,0.0,0.0,C.A. 2315,B39,C,7,"Philadelphia, PA"
23.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,8.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,14.0,145.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,10.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,12.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,13.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,6.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,175.0,2.0,0,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",male,3.0,2.0,350410,C30,Q,10,"Goteborg, Sweden / Rockford, IL"
23.0,12.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,9.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
33.0,29.0,147.0,1.0,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,8.0,2.0,SOTON/O2 3101284,A19,Q,11,"Brunswick, ME"
42.0,85.0,183.0,2.0,1,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,4.0,9.0,7534,B30,C,5,"St Louis, MO"
26.0,14.0,153.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,11.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,10.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,8.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,9.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,7.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,12.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,9.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,11.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,13.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,12.0,150.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,1,"Rommetvedt, Mr. Knud Paust",female,1.0,2.0,2908,C23 C25 C27,S,13,"Portland, OR"
21.0,10.0,151.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,10.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,13.0,152.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
27.0,80.0,182.0,3.0,0,"Vande Velde, Mr. Johannes Joseph",female,5.0,9.0,329944,C39,C,4,"Goteborg, Sweden / Rockford, IL"
21.0,13.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,9.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,13.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,12.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,84.0,175.0,1.0,0,"Greenfield, Mr. William Bertram",male,0.0,0.0,347088,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,153.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,10.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,14.0,150.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,8.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,18.0,146.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,84.0,185.0,2.0,0,"Rommetvedt, Mr. Knud Paust",male,1.0,2.0,2908,C23 C25 C27,S,13,"Portland, OR"
22.0,12.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,1,"Flynn, Mr. James",female,1.0,1.0,230136,C110,C,5,"Montreal, PQ"
20.0,6.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
23.0,10.0,152.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
20.0,10.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,2.0,1,"Thomas, Mr. Charles P",female,1.0,1.0,PC 17761,A34,C,10,"London / Winnipeg, MB"
21.0,6.0,149.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,13.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
35.0,21.0,175.0,3.0,0,"Partner, Mr. Austen",male,0.0,0.0,349248,G6,Q,7,"St Louis, MO"
21.0,10.0,148.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,12.0,151.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
22.0,10.0,150.0,3.0,0,"Matinoff, Mr. Nicola",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
21.0,11.0,149.0,3.0,0,"Richards, Master. William Rowe",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
42.0,85.0,185.0,1.0,1,"Abbing, Mr. Anthony",female,1.0,1.0,110489,A21,C,11,"Aberdeen / Portland, OR"
22.0,11.0,151.0,3.0,0,"Lemore, Mrs. (Amelia Milley)",male,0.0,0.0,3101295,C23 C25 C27,S,13,"New York, NY"
