age,fare,body,pclass,survived,name,sex,sibsp,parch,ticket,cabin,embarked,boat,home.dest
17.0,85.0,126.0,2.0,0,"Abbott, Master. Eugene Joseph",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
17.0,85.0,174.0,3.0,0,"Farrell, Mr. James",female,1.0,1.0,PC 17558,C49,C,14,"New York, NY"
35.0,34.0,166.0,2.0,0,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",male,0.0,0.0,347088,D37,Q,11,"Syria Fredericksburg, VA"
18.0,85.0,173.0,3.0,0,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,1.0,2.0,2656,F,C,D,"New York, NY"
38.0,-3.0,165.0,2.0,0,"Hagland, Mr. Ingvald Olai Olsen",male,3.0,4.0,2676,D22,Q,13 15 B,"Guernsey / Montclair, NJ and/or Toledo, Ohio"
35.0,4.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
35.0,32.0,158.0,2.0,0,"Olsvigen, Mr. Thor Anderson",male,0.0,0.0,2676,C23 C25 C27,S,13,"Aberdeen / Portland, OR"
35.0,-4.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,178.0,3.0,0,"Persson, Mr. Ernst Ulrik",female,1.0,2.0,348123,D56,C,12,"Haverford, PA / Cooperstown, NY"
35.0,7.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
37.0,23.0,162.0,2.0,1,"Van Impe, Mr. Jean Baptiste",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
37.0,21.0,158.0,2.0,1,"Glynn, Miss. Mary Agatha",male,0.0,0.0,2676,C23 C25 C27,S,13,"Walthamstow, England"
37.0,10.0,160.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,184.0,2.0,0,"Abelseth, Mr. Olaus Jorgensen",female,1.0,1.0,110152,A21,C,1,"?Havana, Cuba"
17.0,85.0,184.0,2.0,0,"Klasen, Miss. Gertrud Emilia",female,1.0,1.0,348123,B41,C,11,"New York, NY"
30.0,15.0,158.0,2.0,0,"Lindblom, Miss. Augusta Charlotta",male,8.0,6.0,29105,F33,Q,13 15 B,"Brockton, MA"
22.0,80.0,170.0,2.0,0,"Saad, Mr. Amin",male,0.0,0.0,345769,C23 C25 C27,S,13,"New York, NY"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,2.0,1.0,110152,A11,C,1,"?Havana, Cuba"
38.0,15.0,159.0,2.0,1,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Perkins County, SD"
17.0,85.0,185.0,1.0,0,"Allen, Miss. Elisabeth Walton",female,1.0,1.0,110152,A21,C,1,"Bournemouth, England"
37.0,18.0,161.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Hessle, Yorks"
37.0,4.0,160.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
38.0,27.0,162.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
36.0,6.0,159.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,3.0,0,"Abelseth, Mr. Olaus Jorgensen",female,1.0,1.0,110465,A5,C,1,"?Havana, Cuba"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A11,C,1,"?Havana, Cuba"
17.0,85.0,184.0,3.0,0,"Skoog, Master. Harald",female,1.0,2.0,348123,A21,C,11,"Haverford, PA / Cooperstown, NY"
17.0,85.0,185.0,2.0,0,"Abelseth, Mr. Olaus Jorgensen",female,1.0,1.0,110152,A18,C,1,"Aberdeen / Portland, OR"
20.0,83.0,177.0,2.0,0,"Cook, Mrs. (Selena Rogers)",male,2.0,1.0,348123,F,Q,11,"St Louis, MO"
36.0,2.0,159.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,-0.0,158.0,2.0,0,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,1.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A11,C,1,"?Havana, Cuba"
28.0,78.0,174.0,3.0,1,"Sage, Master. Thomas Henry",male,0.0,0.0,349226,C23 C25 C27,C,13,"Ruotsinphyhtaa, Finland New York, NY"
35.0,12.0,159.0,2.0,1,"Homer, Mr. Harry ('Mr E Haven')",male,0.0,0.0,345783,C23 C25 C27,S,13,"Ruotsinphyhtaa, Finland New York, NY"
34.0,-4.0,157.0,2.0,0,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
24.0,79.0,170.0,2.0,0,"Saad, Mr. Amin",male,0.0,0.0,345769,C23 C25 C27,S,13,"New York, NY"
36.0,26.0,162.0,2.0,0,"Panula, Master. Urho Abraham",male,0.0,0.0,SOTON/O.Q. 3101310,C23 C25 C27,S,2,"Brooklyn, NY"
35.0,6.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,20.0,161.0,2.0,1,"Goldsmith, Mr. Nathan",male,0.0,0.0,A/4 31416,C23 C25 C27,S,13,"New York, NY"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
35.0,3.0,158.0,2.0,0,"Doling, Mrs. John T (Ada Julia Bone)",male,0.0,0.0,2676,C23 C25 C27,S,16,"New York, NY / Briarcliff Manor NY"
35.0,4.0,159.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
42.0,85.0,178.0,1.0,0,"Rosblom, Mr. Viktor Richard",female,1.0,0.0,C.A./SOTON 34068,C23 C25 C27,C,13,"Co Cork, Ireland Roxbury, MA"
17.0,85.0,185.0,1.0,0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,1.0,1.0,2676,B20,C,11,"New York, NY"
36.0,12.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"East Orange, NJ"
37.0,6.0,161.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,4.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,170.0,3.0,0,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,1.0,2.0,S.O./P.P. 751,F,Q,11,"Deer Lodge, MT"
17.0,85.0,134.0,3.0,0,"Schabert, Mrs. Paul (Emma Mock)",female,1.0,1.0,348123,F38,C,C,"Haverford, PA / Cooperstown, NY"
39.0,50.0,167.0,1.0,1,"Van Impe, Mr. Jean Baptiste",male,0.0,0.0,2676,C23 C25 C27,S,13,London
34.0,79.0,167.0,1.0,1,"Goodwin, Master. Sidney Leonard",male,0.0,0.0,2676,C23 C25 C27,C,11,"New York, NY"
17.0,85.0,185.0,1.0,0,"Goodwin, Master. Sidney Leonard",female,1.0,1.0,A/5 3536,B20,C,11,"New York, NY"
35.0,1.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
33.0,12.0,164.0,2.0,0,"Olsen, Mr. Karl Siegwart Andreas",male,0.0,0.0,A/4 31416,C23 C25 C27,S,13,"New York, NY"
26.0,85.0,176.0,3.0,1,"Sage, Master. Thomas Henry",female,1.0,0.0,349226,C23 C25 C27,C,13,"New York, NY"
17.0,85.0,185.0,3.0,0,"Abbott, Mrs. Stanton (Rosa Hunt)",female,2.0,1.0,110152,A21,C,1,"?Havana, Cuba"
17.0,83.0,151.0,2.0,0,"Astor, Col. John Jacob",female,4.0,1.0,113778,B101,Q,D,"Montreal, PQ"
35.0,3.0,158.0,2.0,0,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
23.0,85.0,146.0,1.0,1,"Widener, Mr. Harry Elkins",male,0.0,0.0,348123,C23 C25 C27,C,13,"Weston-Super-Mare, Somerset"
33.0,81.0,171.0,1.0,0,"Panula, Master. Urho Abraham",female,1.0,3.0,348123,F G73,C,16,"Haverford, PA"
18.0,85.0,161.0,3.0,0,"Lester, Mr. James",female,1.0,1.0,C.A. 2673,B20,C,11,"New York, NY"
17.0,85.0,130.0,3.0,0,"Salomon, Mr. Abraham L",female,4.0,1.0,2700,E12,Q,16,"Ruotsinphyhtaa, Finland New York, NY"
37.0,15.0,161.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
38.0,19.0,163.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A11,C,1,"?Havana, Cuba"
36.0,9.0,159.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"East Orange, NJ"
30.0,84.0,177.0,1.0,1,"Fleming, Miss. Honora",male,0.0,0.0,348123,C23 C25 C27,S,11,"New York, NY"
23.0,-7.0,143.0,2.0,0,"Johanson, Mr. Jakob Alfred",male,3.0,9.0,A/5. 2151,C124,Q,C D,Cornwall
17.0,85.0,170.0,2.0,0,"Lehmann, Miss. Bertha",female,2.0,1.0,SOTON/OQ 392082,A6,Q,D,"Yoevil, England / Cottage Grove, OR"
17.0,83.0,126.0,3.0,0,"Hood, Mr. Ambrose Jr",male,4.0,1.0,113050,E44,Q,16,"Halifax, NS"
24.0,-0.0,148.0,2.0,0,"Sage, Mr. Frederick",male,0.0,0.0,113050,E44,Q,16,"Ruotsinphyhtaa, Finland New York, NY"
38.0,10.0,161.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,1.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A11,C,1,"?Havana, Cuba"
33.0,3.0,158.0,2.0,0,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Deephaven, MN / Cedar Rapids, IA"
36.0,4.0,160.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,2.0,159.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,3.0,0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,2.0,1.0,2676,B20,C,11,"New York, NY"
17.0,39.0,153.0,3.0,0,"Kink-Heilmann, Mr. Anton",female,5.0,4.0,2676,C92,Q,4,"Washington, DC"
34.0,59.0,176.0,1.0,0,"Laleff, Mr. Kristo",male,8.0,0.0,2673,B94,S,11,"St Andrews, Guernsey"
36.0,3.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
36.0,3.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
26.0,69.0,153.0,2.0,0,"Green, Mr. George Henry",male,1.0,1.0,348123,B82 B84,Q,11,"Amenia, ND"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A11,C,1,"?Havana, Cuba"
36.0,6.0,160.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
31.0,82.0,164.0,3.0,0,"Carter, Mr. William Ernest",female,1.0,3.0,C.A. 2673,D19,Q,2,"Clevedon, England"
37.0,13.0,160.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"East Orange, NJ"
17.0,85.0,178.0,3.0,0,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,1.0,1.0,17421,C23 C25 C27,C,11,"New York, NY"
34.0,-3.0,157.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
36.0,1.0,159.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
32.0,-7.0,155.0,2.0,0,"Harmer, Mr. Abraham (David Lishin)",male,3.0,6.0,233866,F G73,Q,14,"Chelsea, London"
17.0,42.0,132.0,2.0,0,"Toomey, Miss. Ellen",male,2.0,2.0,2691,C124,Q,4,"St Ives, Cornwall / Hancock, MI"
35.0,0.0,158.0,2.0,0,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
36.0,1.0,159.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
38.0,15.0,162.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,London
38.0,36.0,163.0,1.0,1,"Van Impe, Mr. Jean Baptiste",male,0.0,0.0,2676,C23 C25 C27,S,13,London
24.0,58.0,163.0,1.0,0,"Yrois, Miss. Henriette ('Mrs Harbeck')",female,3.0,3.0,347467,C22 C26,Q,B,"New Forest, England"
17.0,85.0,185.0,1.0,0,"Lester, Mr. James",female,1.0,1.0,2676,F38,C,11,"New York, NY"
35.0,-0.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,3.0,0,"Straus, Mr. Isidor",female,1.0,1.0,2676,C92,C,10,"Woodford County, KY"
17.0,85.0,185.0,1.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A11,C,1,"?Havana, Cuba"
31.0,78.0,165.0,2.0,0,"Sage, Master. Thomas Henry",male,4.0,0.0,347068,F33,C,16,"New York, NY"
17.0,85.0,170.0,3.0,0,"Frost, Mr. Anthony Wood 'Archie'",female,1.0,1.0,PC 17474,C128,C,16,"New York, NY"
37.0,5.0,159.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
29.0,66.0,170.0,1.0,0,"Hays, Miss. Margaret Bechstein",male,8.0,6.0,348123,D36,C,11,Argentina
19.0,48.0,150.0,2.0,0,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",male,4.0,2.0,65304,C49,Q,4,"New York, NY / Briarcliff Manor NY"
39.0,76.0,165.0,1.0,1,"Skoog, Master. Karl Thorsten",male,0.0,0.0,2676,C23 C25 C27,S,13,"New York, NY"
35.0,3.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"East Orange, NJ"
26.0,10.0,149.0,2.0,0,"Sage, Mr. Frederick",male,4.0,4.0,113050,E44,Q,16,"Ruotsinphyhtaa, Finland New York, NY"
37.0,4.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,178.0,2.0,0,"Widener, Mr. Harry Elkins",female,3.0,2.0,228414,F33,Q,11,"Glen Ridge, NJ"
29.0,85.0,179.0,1.0,0,"Skoog, Miss. Mabel",female,8.0,2.0,348123,B57 B59 B63 B66,C,11,"New York, NY / Washington, DC"
35.0,2.0,157.0,2.0,0,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"East Orange, NJ"
31.0,75.0,166.0,2.0,1,"Fleming, Miss. Honora",male,0.0,0.0,2676,C23 C25 C27,S,13,"New York, NY"
38.0,35.0,163.0,1.0,1,"Van Impe, Mr. Jean Baptiste",male,0.0,0.0,2676,C23 C25 C27,S,13,London
18.0,85.0,180.0,3.0,0,"Midtsjo, Mr. Karl Albert",female,1.0,1.0,C.A. 34260,C23 C25 C27,C,13,"New York, NY"
34.0,-6.0,157.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,-2.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,1.0,0,"Abbott, Master. Eugene Joseph",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
32.0,28.0,158.0,2.0,0,"Harper, Miss. Annie Jessie 'Nina'",male,0.0,0.0,A/5 21173,C23 C25 C27,S,13,"Mexico City, Mexico"
17.0,85.0,185.0,1.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
38.0,41.0,160.0,1.0,1,"Clifford, Mr. George Quincy",male,0.0,0.0,2676,C23 C25 C27,S,13,"Los Angeles, CA"
19.0,84.0,156.0,2.0,0,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,8.0,2.0,A/5 21173,F33,Q,16,"St Leonards-on-Sea, England Ohio"
17.0,85.0,135.0,1.0,0,"Dick, Mr. Albert Adrian",male,1.0,1.0,348123,B101,C,11,"New York, NY"
27.0,65.0,166.0,2.0,0,"Spencer, Mr. William Augustus",male,3.0,6.0,2676,C90,Q,11,"Clevedon, England"
35.0,2.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
35.0,-0.0,158.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,33.0,141.0,2.0,0,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",male,4.0,2.0,C.A. 33595,B38,Q,4,London
27.0,38.0,149.0,2.0,0,"Cribb, Miss. Laura Alice",male,3.0,9.0,28221,F33,Q,C,"London, England / Marietta, Ohio and Milwaukee, WI"
27.0,48.0,166.0,2.0,0,"Colley, Mr. Edward Pomeroy",male,0.0,0.0,2676,C23 C25 C27,S,13,"New York, NY"
28.0,53.0,172.0,2.0,0,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",male,4.0,5.0,347088,D37,Q,11,"Co Cork, Ireland Roxbury, MA"
17.0,85.0,167.0,3.0,0,"Emir, Mr. Farred Chehab",female,1.0,1.0,29750,F38,C,11,"New York, NY"
17.0,85.0,153.0,3.0,0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,2.0,1.0,348123,F38,C,10,"Copenhagen, Denmark"
18.0,77.0,150.0,3.0,0,"Keane, Miss. Nora A",male,2.0,1.0,2676,C50,Q,4,"Amenia, ND"
36.0,-3.0,160.0,2.0,0,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
34.0,1.0,158.0,2.0,0,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,3.0,0,"Abbott, Mrs. Stanton (Rosa Hunt)",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
17.0,85.0,134.0,3.0,0,"Gheorgheff, Mr. Stanio",male,1.0,1.0,PP 9549,A5,C,7,"New York, NY"
35.0,3.0,157.0,2.0,0,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
31.0,69.0,166.0,2.0,1,"Astor, Col. John Jacob",male,0.0,0.0,113778,C23 C25 C27,S,13,"New York, NY"
36.0,11.0,159.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
17.0,85.0,185.0,2.0,0,"Abbing, Mr. Anthony",female,1.0,1.0,110152,A18,C,1,"?Havana, Cuba"
34.0,-2.0,157.0,2.0,0,"Daly, Mr. Peter Denis",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
30.0,52.0,166.0,1.0,1,"Karun, Miss. Manca",male,0.0,0.0,349229,C23 C25 C27,S,7,"Guernsey, England / Edgewood, RI"
36.0,2.0,159.0,2.0,1,"Sap, Mr. Julius",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
34.0,3.0,158.0,2.0,1,"Rheims, Mr. George Alexander Lucien",male,0.0,0.0,2676,C23 C25 C27,S,13,"Brooklyn, NY"
